,command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,HH,'H','L',LL,control_mode,control_scheme,pump,crc_rate,measurement,time,result
0,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.7589569091797,1.0,b'0'
1,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.6736755371094,1.07,b'0'
2,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.616828918457,1.16,b'0'
3,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.5599746704102,1.1,b'0'
4,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.4747009277344,1.15,b'0'
5,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.3894195556641,1.29,b'0'
6,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.3325729370117,1.27,b'0'
7,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.218879699707,1.22,b'0'
8,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.1051712036133,1.26,b'0'
9,7.0,7.0,183.0,233.0,9.0,10.0,3.0,10.0,3.0,10.0,0.0,25.0,21.0,90.0,80.0,20.0,10.0,2.0,1.0,0.0,1.0,85.0767517089844,1.04,b'0'
